,name,productUrl,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id
1804,Imported 100% Accurate Tempered Glass Electronic Digital Body Weight Scale Digital Body Weight Machine Digital Personal Body Weighing Scale Digital Personal Body Weighing Machine Digital Bath Scale Digital Bathroom Scale Portable Weight Scale Machine,//www.daraz.pk/products/imported-100-accurate-tempered-glass-electronic-digital-body-weight-scale-digital-body-weight-machine-digital-personal-body-weighing-scale-digital-personal-body-weighing-machine-digital-bath-scale-digital-bathroom-scale-portable-weight-scale-machine-i129754648-s1289542459.html?search=1,"Rs. 1,499",-6%,4.52632,114,True,Pakistan,https://static-01.daraz.pk/p/fbbf2efe90c3fdf53cbfff9096bb3670.png,Shahriyartraders,Weight Watchers,1066136
1805,Bath Mug Millat (SPRING SERIES) Pack Of 3,//www.daraz.pk/products/bath-mug-millat-spring-series-pack-of-3-i134226911-s1294640086.html?search=1,Rs. 140,,5,18,True,Pakistan,https://static-01.daraz.pk/p/mdc/44c868265d51ac4255c0a8c3d1fc546d.jpg,Millat Plastic Products,Millat Plastic Products,1142943
1806,"Stainless Steel Towel Rod, Towel Holder Wall Mounted, Bathroom Towel Bar Hotel Style Premium Quality With Screws",//www.daraz.pk/products/stainless-steel-towel-rod-towel-holder-wall-mounted-bathroom-towel-bar-hotel-style-premium-quality-with-screws-i146222346-s1308900401.html?search=1,Rs. 329,-18%,5,2,True,Pakistan,https://static-01.daraz.pk/p/d103929a4c2ae9e1d66c0f12bea2d987.jpg,M.M Hardware,M.M Hardware,1016948
1807,Pack of 12 - Egyptian Face Towel,//www.daraz.pk/products/pack-of-12-egyptian-face-towel-i100850675-s1246253084.html?search=1,Rs. 699,-42%,4.28571,14,True,Pakistan,https://static-01.daraz.pk/p/d46975fc7f9c38344b55ec1980942b9d.jpg,SILVER TEXTILE FACTORY (Karachi),BATH AND HOME,5191
1808,180Kg A&D Medical UC-502  Tempered Glass Personal High Accuracy Digital Step-On Technology Body Health Weight Scale / Electronic Weighing Machine,//www.daraz.pk/products/180kg-ad-medical-uc-502-tempered-glass-personal-high-accuracy-digital-step-on-technology-body-health-weight-scale-electronic-weighing-machine-i151876674-s1316220137.html?search=1,"Rs. 2,849",-53%,5,2,True,Pakistan,https://static-01.daraz.pk/p/4daf51edb42f27685cf95832bc242168.jpg,Advance Shopping,A&D Medical,1020018
1809,Shower Curtain Set Bathroom Fabric Fall Curtains Waterproof Colourful stylish design  with 12 Rings size 180 X 200cm,//www.daraz.pk/products/shower-curtain-set-bathroom-fabric-fall-curtains-waterproof-colourful-stylish-design-with-12-rings-size-180-x-200cm-i100679808-s1246041868.html?search=1,Rs. 990,,4.72131,61,True,Pakistan,https://static-01.daraz.pk/original/b361f47d8227872b3469ea96538565c8.jpg,Zai Saeed & Co (Lahore),Relaxsit,233
1810,Cut Price Pack of 2 Towel In Multicolor,//www.daraz.pk/products/cut-price-pack-of-2-towel-in-multicolor-i140306221-s1300322323.html?search=1,Rs. 225,-50%,4.51667,60,True,Pakistan,https://static-01.daraz.pk/p/9e611170477d86fe487c4adf73ca57e7.jpg,The Cut Price,Cut Price Shop,1044428
1811,"Washroom, bathroom & kitchen Target Glass soap dispenser – Liquid soap container & dispenser",//www.daraz.pk/products/washroom-bathroom-kitchen-target-glass-soap-dispenser-liquid-soap-container-dispenser-i133929154-s1294315224.html?search=1,Rs. 390,,4.75,4,True,Pakistan,https://static-01.daraz.pk/p/7282f11c6820f368cbebbce106f04aad.jpg,MM Imports,IKEA,1096720
1812,Pack of 4- Egyptian Hand Towel,//www.daraz.pk/products/pack-of-4-egyptian-hand-towel-i124762610-s1282616917.html?search=1,Rs. 449,-36%,3.4,10,True,Pakistan,https://static-01.daraz.pk/p/c8c8ea997fed1e71b3d396c76a4e6a2a.jpg,SILVER TEXTILE FACTORY (Karachi),BATH AND HOME,5191
1813,Good Quality Soft And Gentle Bath Sponge Bath Ball Loofah,//www.daraz.pk/products/good-quality-soft-and-gentle-bath-sponge-bath-ball-loofah-i100073827-s1057762551.html?search=1,Rs. 130,-10%,4.18182,11,True,Pakistan,https://static-01.daraz.pk/original/dd0b10201e0dcf21decfb974a4a61f7d.jpg,Asaan Living (Karachi),Asaan Living,24960
