,name,productUrl,originalPrice,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id,Item Id
15,Towel Set 8 Piece 2 Bath Towels 2 Hand Towels and 4 Washcloths,www.daraz.pk/products/towel-set-8-piece-2-bath-towels-2-hand-towels-and-4-washcloths-i146692037-s1309596655.html?search=1,2499.00,2078,-17%,4,1,True,Pakistan,https://static-01.daraz.pk/p/5bd22edee9ee13f5734df1f8e3243507.jpg,Utopia Basics,Utopia,6005010045314,146692037
16,"Utopia Towel Set, 2 Bath Towels, 2 Hand Towels, and 4 Washcloths, 600 GSM 100% Premium Ring Spun Cotton Highly Absorbent Towels for Bathroom, Shower Towel, (Pack of 8)",www.daraz.pk/products/utopia-towel-set-2-bath-towels-2-hand-towels-and-4-washcloths-600-gsm-100-premium-ring-spun-cotton-highly-absorbent-towels-for-bathroom-shower-towel-pack-of-8-i146612924-s1309508859.html?search=1,1999.00,1700,-15%,5,1,True,Pakistan,https://static-01.daraz.pk/p/312aaec364677745c709f65e82e14939.jpg,Utopia Basics,Utopia,6005010045314,146612924
17,Toilet Brush Curve,www.daraz.pk/products/toilet-brush-curve-i147600549-s1310856430.html?search=1,70.00,60,-14%,4.5,2,True,Pakistan,https://static-01.daraz.pk/p/645d9ff3c337cd1e3998b14213599cd5.jpg,Zidello -,Royal Touch,1059036,147600549
18,Toilet Brush Lite 2.0,www.daraz.pk/products/toilet-brush-lite-20-i147610318-s1310864133.html?search=1,,90.00,,5,4,True,Pakistan,https://static-01.daraz.pk/p/eed830cc6c8dde57ce941276f893468a.jpg,Zidello -,Royal Touch,1059036,147610318
19,Toilet Brush with Caddy [Designer Edition],www.daraz.pk/products/toilet-brush-with-caddy-designer-edition-i142416079-s1302778093.html?search=1,300.00,290,-3%,4.78571,14,True,Pakistan,https://static-01.daraz.pk/p/mdc/f99011abdf428f9748f8845e99fc0770.jpg,Zidello -,Royal Touch,1059036,142416079
20,Bath Mug Millat (SPRING SERIES) Pack Of 3,www.daraz.pk/products/bath-mug-millat-spring-series-pack-of-3-i134226911-s1294640086.html?search=1,,140.00,,5,18,True,Pakistan,https://static-01.daraz.pk/p/mdc/44c868265d51ac4255c0a8c3d1fc546d.jpg,Millat Plastic Products,Millat Plastic Products,1142943,134226911
21,Bath Stool Square Millat (SPRING SERIES) Pack of 2,www.daraz.pk/products/bath-stool-square-millat-spring-series-pack-of-2-i134219111-s1294600974.html?search=1,,640.00,,5,1,True,Pakistan,https://static-01.daraz.pk/p/mdc/ee282acbfb1097bf00fcf55e3e85009b.jpg,Millat Plastic Products,Millat Plastic Products,1142943,134219111
22,Bath Stool Round Millat (SPRING SERIES) Pack of 2,www.daraz.pk/products/bath-stool-round-millat-spring-series-pack-of-2-i134191926-s1294586009.html?search=1,,640.00,,5,2,True,Pakistan,https://static-01.daraz.pk/p/mdc/4b27fd7a524f101adfb1f11648eb670e.jpg,Millat Plastic Products,Millat Plastic Products,1142943,134191926
23,Large Plastic Over the Shower Caddy Frosted,www.daraz.pk/products/large-plastic-over-the-shower-caddy-frosted-i132123057-s1292316057.html?search=1,1000.00,600.00,-40%,5,1,True,Pakistan,https://static-01.daraz.pk/p/f60dd6c1c5a76a20c75cfa7694b52154.jpg,AYaan chase mart (Karachi),Ayaan chase mart,10999,132123057
24,Imported 100% Accurate Strong Glass Electronic Digital Body Weight Machine Digital Body Weight Scale Digital Personal Body Weighing Machine Digital Personal Body Weighing Scale Digital Bathroom Scale Digital Bath Scale Portable Weight Scale Machine,www.daraz.pk/products/imported-100-accurate-strong-glass-electronic-digital-body-weight-machine-digital-body-weight-scale-digital-personal-body-weighing-machine-digital-personal-body-weighing-scale-digital-bathroom-scale-digital-bath-scale-portable-weight-scale-machine-i102644239-s1248460528.html?search=1,,1395.00,,4.52941,17,True,Pakistan,https://static-01.daraz.pk/p/6897906c0afde5cbd02ff7ab43ea9c37.jpg,Lahore Cart (Lahore),Imported,11842,102644239
25,Imported 100% Accurate Strong Glass Electronic Digital Body Weight Machine Digital Body Weight Scale Digital Personal Body Weighing Machine Digital Personal Body Weighing Scale Digital Bathroom Scale Digital Bath Scale Portable Weight Scale Machine,www.daraz.pk/products/imported-100-accurate-strong-glass-electronic-digital-body-weight-machine-digital-body-weight-scale-digital-personal-body-weighing-machine-digital-personal-body-weighing-scale-digital-bathroom-scale-digital-bath-scale-portable-weight-scale-machine-i105612382-s1252994988.html?search=1,,1425.00,,4.5,6,True,Pakistan,https://static-01.daraz.pk/p/a2b1db93d0fb59d17fbc8c41a7e7ffff.jpg,Lahore Cart (Lahore),Imported,11842,105612382
26,Exceptional Quality 4 Pcs. Ceramic Bath Set European Standards,www.daraz.pk/products/exceptional-quality-4-pcs-ceramic-bath-set-european-standards-i123890052-s1281146257.html?search=1,1898.00,1650.00,-13%,5,1,True,Pakistan,https://static-01.daraz.pk/p/01575b7a3d36149d2ac660905a4118f5.jpg,Lajawab (Okara),Lajawab,409,123890052
27,Prince Towels,www.daraz.pk/products/king-towels-i151870955-s1316204919.html?search=1,600.00,539,-10%,5,5,True,Pakistan,https://static-01.daraz.pk/p/29a58562dbd3e5df7f742bc0c3e08751.png,Mtex textile,Mtex Textile,6005007963258,151870955
28,Ceramic Bathroom Set - 4 Pcs Nice Quality,www.daraz.pk/products/ceramic-bathroom-set-4-pcs-nice-quality-i108274856-s1257504672.html?search=1,1517.00,1319.00,-13%,5,2,True,Pakistan,https://static-01.daraz.pk/p/169e2567643e1dc06200fb9eaf2d68e7.jpg,Lajawab (Okara),Lajawab,409,108274856
29,Ceramic Bathroom Set - 4 Pcs Nice Quality,www.daraz.pk/products/ceramic-bathroom-set-4-pcs-nice-quality-i108280866-s1257524094.html?search=1,1517.00,1319.00,-13%,5,1,True,Pakistan,https://static-01.daraz.pk/p/5bb04cd55dfc275ef65c95807bf8736b.jpg,Lajawab (Okara),Lajawab,409,108280866
30,Pack Of 4 - Bath Towels - White,www.daraz.pk/products/pack-of-4-bath-towels-white-i3109107-s12440822.html?search=1,2199.00,1739.00,-21%,5,1,True,Pakistan,https://static-01.daraz.pk/original/c8ef3dfe6ef416bb1e46f9c19dab277f.jpg,My Modern Mart (Islamabad),My Modern Mart,11551,3109107
31,Sink Tidy Set - White & Green,www.daraz.pk/products/sink-tidy-set-white-green-i17511012-s258896476.html?search=1,,600.00,,5,2,True,Pakistan,https://static-01.daraz.pk/original/51878c0ce7e9c333b98b613bcd2cd48d.jpg,SHOP IT PK (Karachi),As Seen on TV,8224,17511012
32,Al Nasik White Towel handkerchief 10x10 inches 100% cotton in pack 4,www.daraz.pk/products/al-nasik-white-towel-handkerchief-10x10-inches-100-cotton-in-pack-4-i146308943-s1309046742.html?search=1,120.00,100.00,-17%,5,5,True,Pakistan,https://static-01.daraz.pk/p/8b795fab1f26aa98cb9d078ce05de72d.png,nasik,Al Nasik,1038435,146308943
33,3 Layer Bathroom Corner Shelf washroom corner stand Plastic Bathroom Corner Shampoo Rack Tooth Brush Soap Holder new,www.daraz.pk/products/3-layer-bathroom-corner-shelf-washroom-corner-stand-plastic-bathroom-corner-shampoo-rack-tooth-brush-soap-holder-new-i133815230-s1294211320.html?search=1,,499.00,,4.81818,11,True,Pakistan,https://static-01.daraz.pk/p/abbe53ea4d84073797ad33a3cc3feb28.jpg,Momin Collection,Momin Collection,1121088,133815230
